name,year,wine ID,rating,price,winery,ratings_count,country,flavor_1,flavor_1_count,flavor_2,flavor_2_count,flavor_3,flavor_3_count,flavor_4,flavor_4_count,flavor_5,flavor_5_count
Malbec Alta 2018,2018,68824,4.6,64.8807668485974,Angélica Zapata,4958,ar,"('oak',)","(656,)","('black_fruit',)","(502,)","('non_oak',)","(382,)","('spices',)","(371,)","('earth',)","(307,)"
Nicola Catena Parcela Bonarda 2018,2018,5095201,4.6,93.50039400292316,Catena Zapata,2814,ar,"('oak',)","(111,)","('black_fruit',)","(93,)","('spices',)","(80,)","('non_oak',)","(78,)","('red_fruit',)","(59,)"
Malbec Argentino 2018,2018,1869,4.7,133.36602074433912,Catena Zapata,2619,ar,"('oak',)","(754,)","('black_fruit',)","(702,)","('earth',)","(490,)","('non_oak',)","(461,)","('spices',)","(377,)"
Bramare Malbec Lujan de Cuyo 2019,2019,43974,4.5,61.997177210881965,Viña Cobos,1916,ar,"('oak',)","(649,)","('black_fruit',)","(507,)","('non_oak',)","(426,)","('spices',)","(382,)","('earth',)","(330,)"
Gran Enemigo 2016,2016,1235058,4.6,72.99086270467208,El Enemigo,1881,ar,"('oak',)","(298,)","('black_fruit',)","(235,)","('earth',)","(192,)","('spices',)","(186,)","('non_oak',)","(184,)"
Conjuro 2015,2015,1199944,4.4,66.32256166745513,Bressia,1312,ar,"('oak',)","(94,)","('black_fruit',)","(66,)","('earth',)","(47,)","('non_oak',)","(41,)","('spices',)","(39,)"
Inspirado Blend 2014,2014,1683469,4.3,64.15986943916855,Mauricio Lorca,1012,ar,"('oak',)","(31,)","('black_fruit',)","(20,)","('non_oak',)","(17,)","('spices',)","(15,)","('earth',)","(13,)"
Petite Fleur Blend 2010,2010,736033,3.8,99.1594386669397,Monteviejo,840,ar,"('oak',)","(65,)","('black_fruit',)","(46,)","('non_oak',)","(39,)","('earth',)","(34,)","('spices',)","(30,)"
Petite Fleur Blend 2014,2014,736033,3.9,56.691372277485556,Monteviejo,840,ar,"('oak',)","(65,)","('black_fruit',)","(46,)","('non_oak',)","(39,)","('earth',)","(34,)","('spices',)","(30,)"
Terroir Series Ambrosia Malbec 2015,2015,2326395,4.3,78.0371445706741,Trapiche,820,ar,"('black_fruit',)","(200,)","('oak',)","(190,)","('earth',)","(125,)","('non_oak',)","(123,)","('spices',)","(117,)"
Malbec Argentino 2019,2019,1869,4.5,115.34358550861761,Catena Zapata,779,ar,"('oak',)","(754,)","('black_fruit',)","(702,)","('earth',)","(490,)","('non_oak',)","(461,)","('spices',)","(377,)"
Cuvée Especial Blanc De Blancs ,,1225687,3.8,52.985959593021214,Zuccardi,751,ar,"('tree_fruit',)","(21,)","('microbio',)","(17,)","('citrus_fruit',)","(14,)","('earth',)","(12,)","('non_oak',)","(12,)"
Ala Colorada Ancellotta 2014,2014,4447868,4.1,123.27345701233507,Viña Las Perdices,692,ar,"('oak',)","(35,)","('black_fruit',)","(21,)","('non_oak',)","(15,)","('earth',)","(14,)","('red_fruit',)","(13,)"
Punto Final Reserva Malbec 2019,2019,86838,4.0,66.35139756383228,Renacer,669,ar,"('oak',)","(191,)","('black_fruit',)","(146,)","('earth',)","(118,)","('non_oak',)","(100,)","('red_fruit',)","(85,)"
Pinot Noir 2018,2018,1661463,3.5,68.4852538957417,Estancia,563,ar,"('red_fruit',)","(343,)","('oak',)","(243,)","('black_fruit',)","(145,)","('earth',)","(144,)","('non_oak',)","(124,)"
